-6476.12 1
-12310.7 -0.900941
-17969.9 -0.459696
-23556.7 -0.310894
-29125.5 -0.236401
-34659.9 -0.19002
-40194.4 -0.15968
-45705.4 -0.137109
-51221.3 -0.120684
-56720.2 -0.107356
-62226.4 -0.0970758
-67717.7 -0.0882475
-73217.3 -0.0812144
-78703.3 -0.0749273
-84198.3 -0.0698191
-89678.5 -0.0650864
-95170.4 -0.0612403
-100652 -0.0575981
-106147 -0.0545904
-111624 -0.051597
-117119 -0.049229
-122599 -0.0467955
-128100 -0.0448708
-133576 -0.0427426
-139075 -0.0411679
-144588 -0.0396451
-144588 -0
